[1/20] loss_d: 1.211, loss_g: 6.794
[2/20] loss_d: 2.478, loss_g: 8.296
[3/20] loss_d: 0.220, loss_g: 3.716
[4/20] loss_d: 0.094, loss_g: 3.921
[5/20] loss_d: 0.118, loss_g: 4.520
[6/20] loss_d: 0.060, loss_g: 4.539
[7/20] loss_d: 0.024, loss_g: 4.923
[8/20] loss_d: 0.020, loss_g: 4.730
[9/20] loss_d: 0.017, loss_g: 5.606
[10/20] loss_d: 0.465, loss_g: 3.210
[11/20] loss_d: 0.016, loss_g: 6.131
[12/20] loss_d: 0.010, loss_g: 5.515
[13/20] loss_d: 0.374, loss_g: 3.350
[14/20] loss_d: 0.024, loss_g: 5.402
[15/20] loss_d: 0.011, loss_g: 6.394
[16/20] loss_d: 0.005, loss_g: 6.615
[17/20] loss_d: 0.003, loss_g: 7.498
[18/20] loss_d: 0.320, loss_g: 5.672
[19/20] loss_d: 0.011, loss_g: 5.178
[20/20] loss_d: 0.011, loss_g: 7.534
